Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed - Percent Population,Total Doses - Daily - Age 0-17,Total Doses - Daily - Age 18-29,Total Doses - Daily - Age 30-39,Total Doses - Daily - Age 40-49,Total Doses - Daily - Age 50-59,Total Doses - Daily - Age 60-69,Total Doses - Daily - Age 70-79,Total Doses - Daily - Age 80+,Total Doses - Daily - Age 18+,Total Doses - Daily - Age 65+,Total Doses - Daily - Age 75+,Total Doses - Daily - Unknown Age,Total Doses - Daily - Female,Total Doses - Daily - Male,Total Doses - Daily - Unknown Gender,1st Dose - Daily - Age 0-17,1st Dose - Daily - Age 18-29,1st Dose - Daily - Age 30-39,1st Dose - Daily - Age 40-49,1st Dose - Daily - Age 50-59,1st Dose - Daily - Age 60-69,1st Dose - Daily - Age 70-79,1st Dose - Daily -  Age 80+,1st Dose - Daily - Age 18+,1st Dose - Daily - Age 65+,1st Dose - Daily - Age 75+,1st Dose - Daily - Unknown Age,1st Dose - Daily - Female,1st Dose - Daily - Male,1st Dose - Daily - Unknown Gender,Vaccine Series Completed - Daily - Age 0-17,Vaccine Series Completed - Daily - Age 18-29,Vaccine Series Completed - Daily - Age 30-39,Vaccine Series Completed - Daily - Age 40-49,Vaccine Series Completed - Daily - Age 50-59,Vaccine Series Completed - Daily - Age 60-69,Vaccine Series Completed - Daily - Age 70-79,Vaccine Series Completed - Daily - Age 80+,Vaccine Series Completed - Daily - Age 18+,Vaccine Series Completed - Daily - Age 65+,Vaccine Series Completed - Daily - Age 75+,Vaccine Series Completed - Daily - Unknown Age,Vaccine Series Completed - Daily - Female,Vaccine Series Completed - Daily - Male,Vaccine Series Completed - Daily - Unknown Gender
02/15/2021,4327,356643,3678,264025,0.098,649,92618,0.034,3,475,636,644,592,945,765,267,4324,1670,531,0,2399,1908,20,3,368,512,576,530,846,624,219,3675,1407,436,0,2016,1646,16,0,107,124,68,62,99,141,48,649,263,95,0,383,262,4
12/15/2020,4,4,4,4,0,0,0,0,0,0,1,1,2,0,0,0,4,0,0,0,3,1,0,0,0,1,1,2,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/2020,148,152,148,152,0,0,0,0,0,22,54,35,17,19,1,0,148,8,0,0,77,62,9,0,22,54,35,17,19,1,0,148,8,0,0,77,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2020,1989,2141,1989,2141,0.001,0,0,0,0,505,812,309,218,115,27,3,1989,69,10,0,1099,720,170,0,505,812,309,218,115,27,3,1989,69,10,0,1099,720,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/2020,5666,7807,5666,7807,0.003,0,0,0,0,1463,2175,928,620,406,64,10,5666,213,32,0,3402,1872,392,0,1463,2175,928,620,406,64,10,5666,213,32,0,3402,1872,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/19/2020,3426,11233,3426,11233,0.004,0,0,0,0,832,1348,562,409,243,29,3,3426,121,7,0,2154,1114,158,0,832,1348,562,409,243,29,3,3426,121,7,0,2154,1114,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/20/2020,958,12191,958,12191,0.005,0,0,0,0,231,353,190,118,57,8,1,958,23,3,0,642,314,2,0,231,353,190,118,57,8,1,958,23,3,0,642,314,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/21/2020,4452,16643,4452,16643,0.006,0,0,0,1,1230,1664,684,511,302,54,6,4451,176,24,0,2782,1330,340,1,1230,1664,684,511,302,54,6,4451,176,24,0,2782,1330,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,3652,20295,3652,20295,0.008,0,0,0,1,970,1346,581,435,262,47,10,3651,143,30,0,2433,1179,40,1,970,1346,581,435,262,47,10,3651,143,30,0,2433,1179,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/23/2020,2752,23047,2752,23047,0.009,0,0,0,0,685,959,449,388,220,44,7,2752,108,23,0,1799,926,27,0,685,959,449,388,220,44,7,2752,108,23,0,1799,926,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
